date,OT,cdr_pump,cdr_fan1,fre1_fan5,cpr3,cpr1,fre1_fan3,cpr2
2024/3/24 1:00,60.62857,0.285714286,0.142857143,0.142857143,14.28571429,25,0.142857143,14.28571429
2024/3/24 2:00,73.31428429,0.285714286,0.285714286,0.285714286,21.42857143,21.42857143,0.285714286,28.57142857
2024/3/24 3:00,82.19999857,0.285714286,0.285714286,0.285714286,35.71428571,32.14285714,0.285714286,14.28571429
2024/3/24 4:00,89.48571,0.571428571,0.285714286,0.142857143,32.14285714,21.42857143,0.142857143,35.71428571
2024/3/24 5:00,64.68571286,0.285714286,0.285714286,0.285714286,25,7.142857143,0.285714286,25
2024/3/24 6:00,85.6,0.428571429,0.285714286,0.285714286,28.57142857,21.42857143,0.285714286,35.71428571
2024/3/24 7:00,78.45714286,0.428571429,0.285714286,0.285714286,35.71428571,14.28571429,0.285714286,28.57142857
2024/3/24 8:00,55.82857143,0.285714286,0,0.285714286,0,25,0.285714286,25
2024/3/24 9:00,47.51428571,0.142857143,0,0.285714286,3.571428571,7.142857143,0.285714286,14.28571429
2024/3/24 10:00,73.54285714,0.428571429,0,0.285714286,10.71428571,25,0.285714286,14.28571429
2024/3/24 11:00,78.77142857,0.428571429,0.285714286,0.142857143,21.42857143,21.42857143,0.142857143,21.42857143
2024/3/24 12:00,96.11428714,0.428571429,0.285714286,0.285714286,28.57142857,42.85714286,0.285714286,21.42857143
2024/3/24 13:00,69.08571429,0.285714286,0.142857143,0.142857143,14.28571429,28.57142857,0.142857143,21.42857143
2024/3/24 14:00,89.14285714,0.571428571,0.142857143,0.285714286,10.71428571,39.28571429,0.285714286,25
2024/3/24 15:00,123.8285714,0.571428571,0.142857143,0.428571429,25,53.57142857,0.428571429,35.71428571
2024/3/24 16:00,104.8857143,0.571428571,0.142857143,0.142857143,21.42857143,42.85714286,0.142857143,35.71428571
2024/3/24 17:00,122.9714286,0.571428571,0.142857143,0.285714286,35.71428571,53.57142857,0.285714286,35.71428571
2024/3/24 18:00,116.8857143,0.428571429,0.142857143,0.285714286,39.28571429,57.14285714,0.285714286,21.42857143
2024/3/24 19:00,103.1142857,0.571428571,0.142857143,0.142857143,42.85714286,42.85714286,0.142857143,14.28571429
2024/3/24 20:00,99,0.428571429,0.142857143,0.285714286,28.57142857,35.71428571,0.285714286,25
2024/3/24 21:00,40.42857143,0.142857143,0,0.142857143,0,14.28571429,0.142857143,7.142857143
2024/3/24 22:00,48.25714429,0.142857143,0,0.285714286,14.28571429,14.28571429,0.285714286,10.71428571
2024/3/24 23:00,56.51428571,0.285714286,0,0.142857143,14.28571429,14.28571429,0.142857143,21.42857143
2024/3/25 0:00,54.31428571,0.285714286,0,0.142857143,14.28571429,25,0.142857143,7.142857143
2024/3/25 1:00,45.91428429,0.142857143,0.142857143,0.142857143,14.28571429,7.142857143,0.142857143,14.28571429
